"s_fips","c_fips","county","state"
1,93,"MARION COUNTY","ALABAMA"
1,95,"MARSHALL COUNTY","ALABAMA"
1,97,"MOBILE COUNTY","ALABAMA"
1,99,"MONROE COUNTY","ALABAMA"
1,101,"MONTGOMERY COUNTY","ALABAMA"
1,103,"MORGAN COUNTY","ALABAMA"
1,131,"WILCOX COUNTY","ALABAMA"
1,115,"ST. CLAIR COUNTY","ALABAMA"
1,109,"PIKE COUNTY","ALABAMA"
1,111,"RANDOLPH COUNTY","ALABAMA"
1,113,"RUSSELL COUNTY","ALABAMA"
1,123,"TALLAPOOSA COUNTY","ALABAMA"
1,117,"SHELBY COUNTY","ALABAMA"
1,119,"SUMTER COUNTY","ALABAMA"
1,121,"TALLADEGA COUNTY","ALABAMA"
1,125,"TUSCALOOSA COUNTY","ALABAMA"
1,127,"WALKER COUNTY","ALABAMA"
1,129,"WASHINGTON COUNTY","ALABAMA"
2,16,"ALEUTIANS WEST CENSUS AREA","ALASKA"
2,13,"ALEUTIANS EAST BOROUGH","ALASKA"
2,150,"KODIAK ISLAND BOROUGH","ALASKA"
2,158,"KUSILVAK CENSUS AREA","ALASKA"
2,20,"ANCHORAGE MUNICIPALITY","ALASKA"
2,50,"BETHEL CENSUS AREA","ALASKA"
2,60,"BRISTOL BAY BOROUGH","ALASKA"
2,68,"DENALI BOROUGH","ALASKA"
2,70,"DILLINGHAM CENSUS AREA","ALASKA"
2,90,"FAIRBANKS NORTH STAR BOROUGH","ALASKA"
2,100,"HAINES BOROUGH","ALASKA"
2,105,"HOONAH-ANGOON CENSUS AREA","ALASKA"
2,110,"JUNEAU CITY AND BOROUGH","ALASKA"
2,122,"KENAI PENINSULA BOROUGH","ALASKA"
2,130,"KETCHIKAN GATEWAY BOROUGH","ALASKA"
2,275,"WRANGELL CITY AND BOROUGH","ALASKA"
2,282,"YAKUTAT CITY AND BOROUGH","ALASKA"
2,164,"LAKE AND PENINSULA BOROUGH","ALASKA"
2,170,"MATANUSKA-SUSITNA BOROUGH","ALASKA"
2,180,"NOME CENSUS AREA","ALASKA"
2,185,"NORTH SLOPE BOROUGH","ALASKA"
2,188,"NORTHWEST ARCTIC BOROUGH","ALASKA"
2,195,"PETERSBURG BOROUGH","ALASKA"
2,198,"PRINCE OF WALES-HYDER CENSUS AREA","ALASKA"
2,220,"SITKA CITY AND BOROUGH","ALASKA"
2,230,"SKAGWAY MUNICIPALITY","ALASKA"
2,240,"SOUTHEAST FAIRBANKS CENSUS AREA","ALASKA"
2,261,"VALDEZ-CORDOVA CENSUS AREA","ALASKA"
2,290,"YUKON-KOYUKUK CENSUS AREA","ALASKA"
4,21,"PINAL COUNTY","ARIZONA"
4,23,"SANTA CRUZ COUNTY","ARIZONA"
4,1,"APACHE COUNTY","ARIZONA"
4,3,"COCHISE COUNTY","ARIZONA"
4,5,"COCONINO COUNTY","ARIZONA"
4,7,"GILA COUNTY","ARIZONA"
4,9,"GRAHAM COUNTY","ARIZONA"
4,11,"GREENLEE COUNTY","ARIZONA"
4,12,"LA PAZ COUNTY","ARIZONA"
4,13,"MARICOPA COUNTY","ARIZONA"
4,15,"MOHAVE COUNTY","ARIZONA"
4,17,"NAVAJO COUNTY","ARIZONA"
4,19,"PIMA COUNTY","ARIZONA"
4,27,"YUMA COUNTY","ARIZONA"
4,25,"YAVAPAI COUNTY","ARIZONA"
5,73,"LAFAYETTE COUNTY","ARKANSAS"
5,75,"LAWRENCE COUNTY","ARKANSAS"
5,71,"JOHNSON COUNTY","ARKANSAS"
5,1,"ARKANSAS COUNTY","ARKANSAS"
5,3,"ASHLEY COUNTY","ARKANSAS"
5,5,"BAXTER COUNTY","ARKANSAS"
5,7,"BENTON COUNTY","ARKANSAS"
5,9,"BOONE COUNTY","ARKANSAS"
5,11,"BRADLEY COUNTY","ARKANSAS"
5,13,"CALHOUN COUNTY","ARKANSAS"
5,15,"CARROLL COUNTY","ARKANSAS"
5,17,"CHICOT COUNTY","ARKANSAS"
5,19,"CLARK COUNTY","ARKANSAS"
5,21,"CLAY COUNTY","ARKANSAS"
5,23,"CLEBURNE COUNTY","ARKANSAS"
5,25,"CLEVELAND COUNTY","ARKANSAS"
5,27,"COLUMBIA COUNTY","ARKANSAS"
5,29,"CONWAY COUNTY","ARKANSAS"
5,31,"CRAIGHEAD COUNTY","ARKANSAS"
5,33,"CRAWFORD COUNTY","ARKANSAS"
5,35,"CRITTENDEN COUNTY","ARKANSAS"
5,37,"CROSS COUNTY","ARKANSAS"
5,39,"DALLAS COUNTY","ARKANSAS"
5,41,"DESHA COUNTY","ARKANSAS"
5,43,"DREW COUNTY","ARKANSAS"
5,45,"FAULKNER COUNTY","ARKANSAS"
5,47,"FRANKLIN COUNTY","ARKANSAS"
5,49,"FULTON COUNTY","ARKANSAS"
5,51,"GARLAND COUNTY","ARKANSAS"
5,53,"GRANT COUNTY","ARKANSAS"
5,55,"GREENE COUNTY","ARKANSAS"
5,57,"HEMPSTEAD COUNTY","ARKANSAS"
5,59,"HOT SPRING COUNTY","ARKANSAS"
5,61,"HOWARD COUNTY","ARKANSAS"
5,63,"INDEPENDENCE COUNTY","ARKANSAS"
5,65,"IZARD COUNTY","ARKANSAS"
5,67,"JACKSON COUNTY","ARKANSAS"
5,69,"JEFFERSON COUNTY","ARKANSAS"
5,97,"MONTGOMERY COUNTY","ARKANSAS"
5,99,"NEVADA COUNTY","ARKANSAS"
5,101,"NEWTON COUNTY","ARKANSAS"
5,77,"LEE COUNTY","ARKANSAS"
5,79,"LINCOLN COUNTY","ARKANSAS"
5,81,"LITTLE RIVER COUNTY","ARKANSAS"
5,83,"LOGAN COUNTY","ARKANSAS"
5,85,"LONOKE COUNTY","ARKANSAS"
5,87,"MADISON COUNTY","ARKANSAS"
5,89,"MARION COUNTY","ARKANSAS"
5,91,"MILLER COUNTY","ARKANSAS"
5,93,"MISSISSIPPI COUNTY","ARKANSAS"
5,95,"MONROE COUNTY","ARKANSAS"
5,123,"ST. FRANCIS COUNTY","ARKANSAS"
5,125,"SALINE COUNTY","ARKANSAS"
5,127,"SCOTT COUNTY","ARKANSAS"
5,103,"OUACHITA COUNTY","ARKANSAS"
5,105,"PERRY COUNTY","ARKANSAS"
5,107,"PHILLIPS COUNTY","ARKANSAS"
5,109,"PIKE COUNTY","ARKANSAS"
5,111,"POINSETT COUNTY","ARKANSAS"
5,113,"POLK COUNTY","ARKANSAS"
5,115,"POPE COUNTY","ARKANSAS"
5,117,"PRAIRIE COUNTY","ARKANSAS"
5,119,"PULASKI COUNTY","ARKANSAS"
5,121,"RANDOLPH COUNTY","ARKANSAS"
5,149,"YELL COUNTY","ARKANSAS"
5,133,"SEVIER COUNTY","ARKANSAS"
5,135,"SHARP COUNTY","ARKANSAS"
5,129,"SEARCY COUNTY","ARKANSAS"
5,131,"SEBASTIAN COUNTY","ARKANSAS"
5,141,"VAN BUREN COUNTY","ARKANSAS"
5,143,"WASHINGTON COUNTY","ARKANSAS"
5,137,"STONE COUNTY","ARKANSAS"
5,139,"UNION COUNTY","ARKANSAS"
5,145,"WHITE COUNTY","ARKANSAS"
5,147,"WOODRUFF COUNTY","ARKANSAS"
6,5,"AMADOR COUNTY","CALIFORNIA"
6,7,"BUTTE COUNTY","CALIFORNIA"
6,3,"ALPINE COUNTY","CALIFORNIA"
6,83,"SANTA BARBARA COUNTY","CALIFORNIA"
6,85,"SANTA CLARA COUNTY","CALIFORNIA"
6,87,"SANTA CRUZ COUNTY","CALIFORNIA"
6,9,"CALAVERAS COUNTY","CALIFORNIA"
6,11,"COLUSA COUNTY","CALIFORNIA"
6,13,"CONTRA COSTA COUNTY","CALIFORNIA"
6,15,"DEL NORTE COUNTY","CALIFORNIA"
6,17,"EL DORADO COUNTY","CALIFORNIA"
6,19,"FRESNO COUNTY","CALIFORNIA"
6,21,"GLENN COUNTY","CALIFORNIA"
6,23,"HUMBOLDT COUNTY","CALIFORNIA"
6,25,"IMPERIAL COUNTY","CALIFORNIA"
6,27,"INYO COUNTY","CALIFORNIA"
6,29,"KERN COUNTY","CALIFORNIA"
6,31,"KINGS COUNTY","CALIFORNIA"
6,33,"LAKE COUNTY","CALIFORNIA"
6,35,"LASSEN COUNTY","CALIFORNIA"
6,37,"LOS ANGELES COUNTY","CALIFORNIA"
6,39,"MADERA COUNTY","CALIFORNIA"
6,41,"MARIN COUNTY","CALIFORNIA"
6,43,"MARIPOSA COUNTY","CALIFORNIA"
6,45,"MENDOCINO COUNTY","CALIFORNIA"
6,47,"MERCED COUNTY","CALIFORNIA"
6,49,"MODOC COUNTY","CALIFORNIA"
6,51,"MONO COUNTY","CALIFORNIA"
6,53,"MONTEREY COUNTY","CALIFORNIA"
6,55,"NAPA COUNTY","CALIFORNIA"
6,57,"NEVADA COUNTY","CALIFORNIA"
6,59,"ORANGE COUNTY","CALIFORNIA"
6,61,"PLACER COUNTY","CALIFORNIA"
6,63,"PLUMAS COUNTY","CALIFORNIA"
6,65,"RIVERSIDE COUNTY","CALIFORNIA"
6,67,"SACRAMENTO COUNTY","CALIFORNIA"
6,69,"SAN BENITO COUNTY","CALIFORNIA"
6,71,"SAN BERNARDINO COUNTY","CALIFORNIA"
6,73,"SAN DIEGO COUNTY","CALIFORNIA"
6,75,"SAN FRANCISCO COUNTY","CALIFORNIA"
6,77,"SAN JOAQUIN COUNTY","CALIFORNIA"
6,79,"SAN LUIS OBISPO COUNTY","CALIFORNIA"
6,81,"SAN MATEO COUNTY","CALIFORNIA"
6,1,"ALAMEDA COUNTY","CALIFORNIA"
6,107,"TULARE COUNTY","CALIFORNIA"
6,109,"TUOLUMNE COUNTY","CALIFORNIA"
6,111,"VENTURA COUNTY","CALIFORNIA"
6,113,"YOLO COUNTY","CALIFORNIA"
6,89,"SHASTA COUNTY","CALIFORNIA"
6,91,"SIERRA COUNTY","CALIFORNIA"
6,93,"SISKIYOU COUNTY","CALIFORNIA"
6,95,"SOLANO COUNTY","CALIFORNIA"
6,97,"SONOMA COUNTY","CALIFORNIA"
6,99,"STANISLAUS COUNTY","CALIFORNIA"
6,101,"SUTTER COUNTY","CALIFORNIA"
6,103,"TEHAMA COUNTY","CALIFORNIA"
6,105,"TRINITY COUNTY","CALIFORNIA"
6,115,"YUBA COUNTY","CALIFORNIA"
8,45,"GARFIELD COUNTY","COLORADO"
8,47,"GILPIN COUNTY","COLORADO"
8,49,"GRAND COUNTY","COLORADO"
8,125,"YUMA COUNTY","COLORADO"
8,1,"ADAMS COUNTY","COLORADO"
8,3,"ALAMOSA COUNTY","COLORADO"
8,5,"ARAPAHOE COUNTY","COLORADO"
8,7,"ARCHULETA COUNTY","COLORADO"
8,9,"BACA COUNTY","COLORADO"
8,11,"BENT COUNTY","COLORADO"
8,13,"BOULDER COUNTY","COLORADO"
8,14,"BROOMFIELD COUNTY","COLORADO"
8,15,"CHAFFEE COUNTY","COLORADO"
8,17,"CHEYENNE COUNTY","COLORADO"
8,19,"CLEAR CREEK COUNTY","COLORADO"
8,21,"CONEJOS COUNTY","COLORADO"
8,23,"COSTILLA COUNTY","COLORADO"
8,25,"CROWLEY COUNTY","COLORADO"
8,27,"CUSTER COUNTY","COLORADO"
8,29,"DELTA COUNTY","COLORADO"
8,31,"DENVER COUNTY","COLORADO"
8,33,"DOLORES COUNTY","COLORADO"
8,35,"DOUGLAS COUNTY","COLORADO"
8,37,"EAGLE COUNTY","COLORADO"
8,39,"ELBERT COUNTY","COLORADO"
8,41,"EL PASO COUNTY","COLORADO"
8,43,"FREMONT COUNTY","COLORADO"
8,71,"LAS ANIMAS COUNTY","COLORADO"
8,73,"LINCOLN COUNTY","COLORADO"
8,75,"LOGAN COUNTY","COLORADO"
8,51,"GUNNISON COUNTY","COLORADO"
8,53,"HINSDALE COUNTY","COLORADO"
8,55,"HUERFANO COUNTY","COLORADO"
8,57,"JACKSON COUNTY","COLORADO"
8,59,"JEFFERSON COUNTY","COLORADO"
8,61,"KIOWA COUNTY","COLORADO"
8,63,"KIT CARSON COUNTY","COLORADO"
8,65,"LAKE COUNTY","COLORADO"
8,67,"LA PLATA COUNTY","COLORADO"
8,69,"LARIMER COUNTY","COLORADO"
8,97,"PITKIN COUNTY","COLORADO"
8,99,"PROWERS COUNTY","COLORADO"
8,101,"PUEBLO COUNTY","COLORADO"
8,77,"MESA COUNTY","COLORADO"
8,79,"MINERAL COUNTY","COLORADO"
8,81,"MOFFAT COUNTY","COLORADO"
8,83,"MONTEZUMA COUNTY","COLORADO"
8,85,"MONTROSE COUNTY","COLORADO"
8,87,"MORGAN COUNTY","COLORADO"
8,89,"OTERO COUNTY","COLORADO"
8,91,"OURAY COUNTY","COLORADO"
8,93,"PARK COUNTY","COLORADO"
8,95,"PHILLIPS COUNTY","COLORADO"
8,123,"WELD COUNTY","COLORADO"
8,107,"ROUTT COUNTY","COLORADO"
8,109,"SAGUACHE COUNTY","COLORADO"
8,103,"RIO BLANCO COUNTY","COLORADO"
8,105,"RIO GRANDE COUNTY","COLORADO"
8,115,"SEDGWICK COUNTY","COLORADO"
8,117,"SUMMIT COUNTY","COLORADO"
8,111,"SAN JUAN COUNTY","COLORADO"
8,113,"SAN MIGUEL COUNTY","COLORADO"
8,119,"TELLER COUNTY","COLORADO"
8,121,"WASHINGTON COUNTY","COLORADO"
9,5,"LITCHFIELD COUNTY","CONNECTICUT"
9,7,"MIDDLESEX COUNTY","CONNECTICUT"
9,3,"HARTFORD COUNTY","CONNECTICUT"
9,1,"FAIRFIELD COUNTY","CONNECTICUT"
9,13,"TOLLAND COUNTY","CONNECTICUT"
9,15,"WINDHAM COUNTY","CONNECTICUT"
9,9,"NEW HAVEN COUNTY","CONNECTICUT"
9,11,"NEW LONDON COUNTY","CONNECTICUT"
10,5,"SUSSEX COUNTY","DELAWARE"
10,1,"KENT COUNTY","DELAWARE"
10,3,"NEW CASTLE COUNTY","DELAWARE"
11,1,"DISTRICT OF COLUMBIA","DISTRICT OF COLUMBIA"
12,63,"JACKSON COUNTY","FLORIDA"
12,65,"JEFFERSON COUNTY","FLORIDA"
12,1,"ALACHUA COUNTY","FLORIDA"
12,3,"BAKER COUNTY","FLORIDA"
12,5,"BAY COUNTY","FLORIDA"
12,7,"BRADFORD COUNTY","FLORIDA"
12,9,"BREVARD COUNTY","FLORIDA"
12,11,"BROWARD COUNTY","FLORIDA"
12,13,"CALHOUN COUNTY","FLORIDA"
12,15,"CHARLOTTE COUNTY","FLORIDA"
12,17,"CITRUS COUNTY","FLORIDA"
12,19,"CLAY COUNTY","FLORIDA"
12,21,"COLLIER COUNTY","FLORIDA"
12,23,"COLUMBIA COUNTY","FLORIDA"
12,27,"DESOTO COUNTY","FLORIDA"
12,29,"DIXIE COUNTY","FLORIDA"
12,31,"DUVAL COUNTY","FLORIDA"
12,33,"ESCAMBIA COUNTY","FLORIDA"
12,35,"FLAGLER COUNTY","FLORIDA"
12,37,"FRANKLIN COUNTY","FLORIDA"
12,39,"GADSDEN COUNTY","FLORIDA"
12,41,"GILCHRIST COUNTY","FLORIDA"
12,43,"GLADES COUNTY","FLORIDA"
12,45,"GULF COUNTY","FLORIDA"
12,47,"HAMILTON COUNTY","FLORIDA"
12,49,"HARDEE COUNTY","FLORIDA"
12,51,"HENDRY COUNTY","FLORIDA"
12,53,"HERNANDO COUNTY","FLORIDA"
12,55,"HIGHLANDS COUNTY","FLORIDA"
12,57,"HILLSBOROUGH COUNTY","FLORIDA"
12,59,"HOLMES COUNTY","FLORIDA"
12,61,"INDIAN RIVER COUNTY","FLORIDA"
12,86,"MIAMI-DADE COUNTY","FLORIDA"
12,87,"MONROE COUNTY","FLORIDA"
12,89,"NASSAU COUNTY","FLORIDA"
12,67,"LAFAYETTE COUNTY","FLORIDA"
12,69,"LAKE COUNTY","FLORIDA"
12,71,"LEE COUNTY","FLORIDA"
12,73,"LEON COUNTY","FLORIDA"
12,75,"LEVY COUNTY","FLORIDA"
12,77,"LIBERTY COUNTY","FLORIDA"
12,79,"MADISON COUNTY","FLORIDA"
12,81,"MANATEE COUNTY","FLORIDA"
12,83,"MARION COUNTY","FLORIDA"
12,85,"MARTIN COUNTY","FLORIDA"
12,111,"ST. LUCIE COUNTY","FLORIDA"
12,113,"SANTA ROSA COUNTY","FLORIDA"
12,115,"SARASOTA COUNTY","FLORIDA"
12,91,"OKALOOSA COUNTY","FLORIDA"
12,93,"OKEECHOBEE COUNTY","FLORIDA"
12,95,"ORANGE COUNTY","FLORIDA"
12,97,"OSCEOLA COUNTY","FLORIDA"
12,99,"PALM BEACH COUNTY","FLORIDA"
12,101,"PASCO COUNTY","FLORIDA"
12,103,"PINELLAS COUNTY","FLORIDA"
12,105,"POLK COUNTY","FLORIDA"
12,107,"PUTNAM COUNTY","FLORIDA"
12,109,"ST. JOHNS COUNTY","FLORIDA"
12,119,"SUMTER COUNTY","FLORIDA"
12,121,"SUWANNEE COUNTY","FLORIDA"
12,123,"TAYLOR COUNTY","FLORIDA"
12,117,"SEMINOLE COUNTY","FLORIDA"
12,127,"VOLUSIA COUNTY","FLORIDA"
12,129,"WAKULLA COUNTY","FLORIDA"
12,131,"WALTON COUNTY","FLORIDA"
12,125,"UNION COUNTY","FLORIDA"
12,133,"WASHINGTON COUNTY","FLORIDA"
13,89,"DEKALB COUNTY","GEORGIA"
13,91,"DODGE COUNTY","GEORGIA"
13,93,"DOOLY COUNTY","GEORGIA"
13,165,"JENKINS COUNTY","GEORGIA"
13,167,"JOHNSON COUNTY","GEORGIA"
13,169,"JONES COUNTY","GEORGIA"
13,171,"LAMAR COUNTY","GEORGIA"
13,173,"LANIER COUNTY","GEORGIA"
13,95,"DOUGHERTY COUNTY","GEORGIA"
13,97,"DOUGLAS COUNTY","GEORGIA"
13,99,"EARLY COUNTY","GEORGIA"
13,101,"ECHOLS COUNTY","GEORGIA"
13,103,"EFFINGHAM COUNTY","GEORGIA"
13,105,"ELBERT COUNTY","GEORGIA"
13,107,"EMANUEL COUNTY","GEORGIA"
13,109,"EVANS COUNTY","GEORGIA"
13,111,"FANNIN COUNTY","GEORGIA"
13,113,"FAYETTE COUNTY","GEORGIA"
13,115,"FLOYD COUNTY","GEORGIA"
13,117,"FORSYTH COUNTY","GEORGIA"
13,119,"FRANKLIN COUNTY","GEORGIA"
13,121,"FULTON COUNTY","GEORGIA"
13,123,"GILMER COUNTY","GEORGIA"
13,125,"GLASCOCK COUNTY","GEORGIA"
13,127,"GLYNN COUNTY","GEORGIA"
13,129,"GORDON COUNTY","GEORGIA"
13,131,"GRADY COUNTY","GEORGIA"
13,133,"GREENE COUNTY","GEORGIA"
13,135,"GWINNETT COUNTY","GEORGIA"
13,137,"HABERSHAM COUNTY","GEORGIA"
13,139,"HALL COUNTY","GEORGIA"
13,141,"HANCOCK COUNTY","GEORGIA"
13,143,"HARALSON COUNTY","GEORGIA"
13,145,"HARRIS COUNTY","GEORGIA"
13,147,"HART COUNTY","GEORGIA"
13,149,"HEARD COUNTY","GEORGIA"
13,151,"HENRY COUNTY","GEORGIA"
13,153,"HOUSTON COUNTY","GEORGIA"
13,155,"IRWIN COUNTY","GEORGIA"
13,157,"JACKSON COUNTY","GEORGIA"
13,159,"JASPER COUNTY","GEORGIA"
13,161,"JEFF DAVIS COUNTY","GEORGIA"
13,163,"JEFFERSON COUNTY","GEORGIA"
13,1,"APPLING COUNTY","GEORGIA"
13,3,"ATKINSON COUNTY","GEORGIA"
13,5,"BACON COUNTY","GEORGIA"
13,7,"BAKER COUNTY","GEORGIA"
13,9,"BALDWIN COUNTY","GEORGIA"
13,11,"BANKS COUNTY","GEORGIA"
13,13,"BARROW COUNTY","GEORGIA"
13,15,"BARTOW COUNTY","GEORGIA"
13,17,"BEN HILL COUNTY","GEORGIA"
13,19,"BERRIEN COUNTY","GEORGIA"
13,21,"BIBB COUNTY","GEORGIA"
13,23,"BLECKLEY COUNTY","GEORGIA"
13,25,"BRANTLEY COUNTY","GEORGIA"
13,27,"BROOKS COUNTY","GEORGIA"
13,29,"BRYAN COUNTY","GEORGIA"
13,31,"BULLOCH COUNTY","GEORGIA"
13,33,"BURKE COUNTY","GEORGIA"
13,35,"BUTTS COUNTY","GEORGIA"
13,37,"CALHOUN COUNTY","GEORGIA"
13,39,"CAMDEN COUNTY","GEORGIA"
13,43,"CANDLER COUNTY","GEORGIA"
13,45,"CARROLL COUNTY","GEORGIA"
13,47,"CATOOSA COUNTY","GEORGIA"
13,49,"CHARLTON COUNTY","GEORGIA"
13,51,"CHATHAM COUNTY","GEORGIA"
13,53,"CHATTAHOOCHEE COUNTY","GEORGIA"
13,55,"CHATTOOGA COUNTY","GEORGIA"
13,57,"CHEROKEE COUNTY","GEORGIA"
13,59,"CLARKE COUNTY","GEORGIA"
13,61,"CLAY COUNTY","GEORGIA"
13,63,"CLAYTON COUNTY","GEORGIA"
13,65,"CLINCH COUNTY","GEORGIA"
13,67,"COBB COUNTY","GEORGIA"
13,69,"COFFEE COUNTY","GEORGIA"
13,71,"COLQUITT COUNTY","GEORGIA"
13,73,"COLUMBIA COUNTY","GEORGIA"
13,75,"COOK COUNTY","GEORGIA"
13,77,"COWETA COUNTY","GEORGIA"
13,79,"CRAWFORD COUNTY","GEORGIA"
13,81,"CRISP COUNTY","GEORGIA"
13,83,"DADE COUNTY","GEORGIA"
13,85,"DAWSON COUNTY","GEORGIA"
13,87,"DECATUR COUNTY","GEORGIA"
13,251,"SCREVEN COUNTY","GEORGIA"
13,253,"SEMINOLE COUNTY","GEORGIA"
13,255,"SPALDING COUNTY","GEORGIA"
13,175,"LAURENS COUNTY","GEORGIA"
13,177,"LEE COUNTY","GEORGIA"
13,179,"LIBERTY COUNTY","GEORGIA"
13,181,"LINCOLN COUNTY","GEORGIA"
13,183,"LONG COUNTY","GEORGIA"
13,185,"LOWNDES COUNTY","GEORGIA"
13,187,"LUMPKIN COUNTY","GEORGIA"
13,189,"MCDUFFIE COUNTY","GEORGIA"
13,191,"MCINTOSH COUNTY","GEORGIA"
13,193,"MACON COUNTY","GEORGIA"
13,195,"MADISON COUNTY","GEORGIA"
13,197,"MARION COUNTY","GEORGIA"
13,199,"MERIWETHER COUNTY","GEORGIA"
13,201,"MILLER COUNTY","GEORGIA"
13,205,"MITCHELL COUNTY","GEORGIA"
13,207,"MONROE COUNTY","GEORGIA"
13,209,"MONTGOMERY COUNTY","GEORGIA"
13,211,"MORGAN COUNTY","GEORGIA"
13,213,"MURRAY COUNTY","GEORGIA"
13,215,"MUSCOGEE COUNTY","GEORGIA"
13,217,"NEWTON COUNTY","GEORGIA"
13,219,"OCONEE COUNTY","GEORGIA"
13,221,"OGLETHORPE COUNTY","GEORGIA"
13,223,"PAULDING COUNTY","GEORGIA"
13,225,"PEACH COUNTY","GEORGIA"
13,227,"PICKENS COUNTY","GEORGIA"
13,229,"PIERCE COUNTY","GEORGIA"
13,231,"PIKE COUNTY","GEORGIA"
13,233,"POLK COUNTY","GEORGIA"
13,235,"PULASKI COUNTY","GEORGIA"
13,237,"PUTNAM COUNTY","GEORGIA"
13,239,"QUITMAN COUNTY","GEORGIA"
13,241,"RABUN COUNTY","GEORGIA"
13,243,"RANDOLPH COUNTY","GEORGIA"
13,245,"RICHMOND COUNTY","GEORGIA"
13,247,"ROCKDALE COUNTY","GEORGIA"
13,249,"SCHLEY COUNTY","GEORGIA"
13,277,"TIFT COUNTY","GEORGIA"
13,279,"TOOMBS COUNTY","GEORGIA"
13,281,"TOWNS COUNTY","GEORGIA"
13,257,"STEPHENS COUNTY","GEORGIA"
13,259,"STEWART COUNTY","GEORGIA"
13,261,"SUMTER COUNTY","GEORGIA"
13,263,"TALBOT COUNTY","GEORGIA"
13,265,"TALIAFERRO COUNTY","GEORGIA"
13,267,"TATTNALL COUNTY","GEORGIA"
13,269,"TAYLOR COUNTY","GEORGIA"
13,271,"TELFAIR COUNTY","GEORGIA"
13,273,"TERRELL COUNTY","GEORGIA"
13,275,"THOMAS COUNTY","GEORGIA"
13,303,"WASHINGTON COUNTY","GEORGIA"
13,305,"WAYNE COUNTY","GEORGIA"
13,307,"WEBSTER COUNTY","GEORGIA"
13,283,"TREUTLEN COUNTY","GEORGIA"
13,285,"TROUP COUNTY","GEORGIA"
13,287,"TURNER COUNTY","GEORGIA"
13,289,"TWIGGS COUNTY","GEORGIA"
13,291,"UNION COUNTY","GEORGIA"
13,293,"UPSON COUNTY","GEORGIA"
13,295,"WALKER COUNTY","GEORGIA"
13,297,"WALTON COUNTY","GEORGIA"
13,299,"WARE COUNTY","GEORGIA"
13,301,"WARREN COUNTY","GEORGIA"
13,311,"WHITE COUNTY","GEORGIA"
13,313,"WHITFIELD COUNTY","GEORGIA"
13,315,"WILCOX COUNTY","GEORGIA"
13,309,"WHEELER COUNTY","GEORGIA"
13,319,"WILKINSON COUNTY","GEORGIA"
13,321,"WORTH COUNTY","GEORGIA"
13,317,"WILKES COUNTY","GEORGIA"
15,1,"HAWAII COUNTY","HAWAII"
15,9,"MAUI COUNTY","HAWAII"
15,7,"KAUAI COUNTY","HAWAII"
15,3,"HONOLULU COUNTY","HAWAII"
15,5,"KALAWAO COUNTY","HAWAII"
16,5,"BANNOCK COUNTY","IDAHO"
16,3,"ADAMS COUNTY","IDAHO"
16,1,"ADA COUNTY","IDAHO"
16,83,"TWIN FALLS COUNTY","IDAHO"
